rho,density
0.1284219063855855,4.230140270268176
0.13299533175318462,9.481348881635567
0.13756875712078373,14.440823681260413
0.1421421824883828,17.212294892815336
0.14671560785598192,17.941629422171918
0.15128903322358103,19.692032292627715
0.15586245859118014,19.83789919849915
0.16043588395877922,16.482960363458755
0.16500930932637833,14.586690587131642
0.16958273469397744,15.899492739973489
0.17415616006157655,14.73255749300296
0.17872958542917566,12.836287716675923
0.18330301079677475,9.481348881635567
0.18787643616437386,6.564010764209239
0.19244986153197297,4.959474799624788
0.19702328689957205,4.813607893753413
0.20159671226717119,3.0632050232976633
0.20617013763477027,2.6256043056836953
0.21074356300236938,2.917338117426328
0.2153169883699685,1.3128021528418559
0.21989041373756757,2.479737399812364
0.2244638391051667,1.021068341099221
0.2290372644727658,0.8752014352278984
0.2336106898403649,0.4376007176139492
0.238184115207964,0.43760071761395186
0.2427575405755631,0.0
0.24733096594316223,0.29173381174263463
