rho,density
0.1,3.6654963050322837e-19
0.10252525252525253,2.991604447047163e-16
0.10505050505050506,1.2917472724780338e-13
0.10757575757575757,3.0377485030346444e-11
0.1101010101010101,3.998418057017823e-09
0.11262626262626263,3.0228125750181375e-07
0.11515151515151516,1.3452488650383153e-05
0.11767676767676769,0.00036081958015818225
0.1202020202020202,0.005966726238193603
0.12272727272727273,0.062193331248002685
0.12525252525252525,0.4176580193671578
0.12777777777777777,1.8479632064195513
0.1303030303030303,5.5203068445539305
0.13282828282828282,11.467986430547498
0.13535353535353536,17.26322997986304
0.13787878787878788,20.06322096939796
0.14040404040404042,19.82845209196385
0.14292929292929293,18.793141018941736
0.14545454545454545,18.73402751235836
0.147979797979798,19.91247200624242
0.1505050505050505,21.51050483346081
0.15303030303030302,22.474423983361092
0.15555555555555556,22.402716923999513
0.15808080808080807,21.59381081653459
0.1606060606060606,20.312313481399322
0.16313131313131313,18.537544266573963
0.16565656565656567,16.338417880210542
0.16818181818181818,13.98370824616367
0.1707070707070707,11.736349702492392
0.17323232323232324,9.824615154043757
0.17575757575757575,8.492782335128421
0.17828282828282827,7.8598221018328625
0.1808080808080808,7.7565777089829995
0.18333333333333335,7.785111689561966
0.18585858585858586,7.559081815259543
0.18838383838383838,6.93255990537921
0.19090909090909092,6.043006560095095
0.19343434343434343,5.136059228275068
0.19595959595959594,4.347224109104926
0.1984848484848485,3.648726768237863
0.201010101010101,2.965930718206799
0.2035353535353535,2.293870877140187
0.20606060606060606,1.6971888510773014
0.2085858585858586,1.2359720782686607
0.2111111111111111,0.9173890203077548
0.21363636363636362,0.706552154382191
0.21616161616161617,0.5611456498837221
0.21868686868686868,0.4525080848722283
0.2212121212121212,0.36794232800697424
0.22373737373737373,0.3060317851374503
0.22626262626262625,0.27212890755767244
0.2287878787878788,0.27338500557871365
0.2313131313131313,0.3119919577792123
0.23383838383838385,0.3786765376074443
0.23636363636363636,0.45097523280639396
0.23888888888888887,0.49988875745005834
0.24141414141414141,0.5031492870942509
0.24393939393939393,0.4568265757044907
0.24646464646464647,0.37649586517327255
0.24898989898989898,0.28700671164584335
0.25151515151515147,0.20885720279540956
0.25404040404040407,0.1506020437030153
0.25656565656565655,0.11030499519038175
0.2590909090909091,0.0819477041685783
0.26161616161616164,0.06088526070694354
0.2641414141414141,0.045551837472218124
0.26666666666666666,0.03643368300461385
0.2691919191919192,0.0346662197882634
0.2717171717171717,0.04149579669074795
0.27424242424242423,0.05818701225806005
0.2767676767676768,0.08536096125299227
0.27929292929292926,0.12148249944687048
0.2818181818181818,0.16144221860428948
0.28434343434343434,0.19673685275821245
0.28686868686868683,0.21797089935824265
0.28939393939393937,0.21870502148928866
0.2919191919191919,0.19841756060087845
0.2944444444444444,0.16269986755749397
0.296969696969697,0.12060457947526593
0.2994949494949495,0.08085830420363298
0.30202020202020197,0.04906251356873599
0.30454545454545456,0.02696192908046508
0.30707070707070705,0.013429309195211962
0.3095959595959596,0.006067193772320767
0.31212121212121213,0.0024881847370520132
0.3146464646464646,0.0009269645555767274
0.31717171717171716,0.000313941574918261
0.3196969696969697,9.672801500900818e-05
0.3222222222222222,2.7131782648983496e-05
0.32474747474747473,6.933039795364846e-06
0.32727272727272727,1.6150150084185082e-06
0.32979797979797976,3.4317561740565267e-07
0.3323232323232323,6.656009535882621e-08
0.33484848484848484,1.1790463607703317e-08
0.3373737373737373,1.9086230986791896e-09
0.3398989898989899,2.8250484247396565e-10
0.3424242424242424,3.8254573678771124e-11
0.3449494949494949,4.74153803386173e-12
0.3474747474747475,5.382098073797851e-13
0.35,5.597448766448515e-14
