lag,PG,mPG
0,1.0,1.0
1,0.9497303944466617,0.6056258181067865
2,0.90894142356593,0.3768086205646759
3,0.867468520678733,0.21753156394781
4,0.8321263695337493,0.15806579611407107
5,0.8031121597052515,0.09637140599769001
6,0.7756331196495042,0.05868757049228619
7,0.7510547269277891,0.04282573322641771
8,0.7290690167437338,0.021698904781383987
9,0.7066541712645682,0.02444171165528526
10,0.6837647070320981,0.00011299067766036811
11,0.6631649906399087,0.006575373096822077
12,0.6404666348109039,-0.029345118576450266
13,0.6204709550389338,-0.03671865047614815
14,0.6009186064101281,-0.02540120712321795
15,0.5800164895119573,-0.02572785260734908
16,0.5605161357828531,-0.009713301494882125
17,0.5443498412497405,-0.028383345439350928
18,0.5273446825259425,-0.010513687296674672
19,0.5070670450383962,-0.01568056281355204
20,0.4887397251625412,-0.004104601466936732
21,0.4724178199858983,0.0012346388942882948
22,0.45302444017148286,0.0089685131428956
23,0.43615133559076646,0.008748722241348338
24,0.41875008623392174,0.020512480061973704
25,0.4051954094580859,0.017182218613013247
26,0.393510600352811,-0.0002041062263078838
27,0.3840999637611313,0.01931259703445214
28,0.3802662860696525,0.007963060584235203
29,0.3758930054480774,0.005764295710516843
30,0.3673860607203114,0.01567327216215829
31,0.3611488846225687,0.014383863724386492
32,0.3532599139667077,0.029621967155417636
33,0.3429569905586829,0.049838682966163075
34,0.3338949424889402,0.0599601685307111
35,0.3272199807047829,0.04251049393093333
36,0.3217815972356616,0.026525052681206755
37,0.3151867272393019,0.00280119879849723
38,0.30681288059108813,-0.0015431791002535526
39,0.2975279164503065,-0.01378549188489554
40,0.29053386582799734,-0.02251373646586993
41,0.28647184798637654,0.002594792775424372
42,0.28493295096312493,-0.00801661026412543
43,0.283926749397089,-0.0010229633700427326
44,0.2817674173827241,-0.009305921811193135
45,0.27904159636355036,-0.024149890591903173
46,0.2791481460617011,-0.030904181612282172
47,0.27495801780074675,-0.027063988017218103
48,0.2760993321840576,-0.047006424195830954
49,0.2773140720273031,-0.07056548205514501
50,0.2794393729192835,-0.09096836274235072
51,0.2777578523299887,-0.10759719869819388
52,0.27333370913210814,-0.0980189967296767
53,0.26836360828910116,-0.0920019212418157
54,0.2677270933467403,-0.06743624493416872
55,0.2643090714087247,-0.05735177694449348
56,0.26066026751587706,-0.04861397606857094
57,0.2578542372551202,-0.04263155036841744
58,0.25419772908414046,-0.029666338317631845
59,0.2552667150411372,-0.037053374863769216
60,0.2548624762159776,-0.03223308070986508
61,0.25604969655219967,-0.035245202152854475
62,0.25936472199389243,-0.06283686957553247
63,0.26034302675856874,-0.06961782305158007
64,0.2601246233954154,-0.08064132030787394
65,0.2594471094544805,-0.09693455953749007
66,0.2549382328876614,-0.09091693245270668
67,0.2509166214390819,-0.08679296319842345
68,0.24771708471117462,-0.08051464700826916
69,0.24283162921131976,-0.053140548320316776
70,0.23900923664552257,-0.035150154112807315
71,0.23369442595451043,0.002713447466589826
72,0.23118371014665207,0.01744317771438545
73,0.22612386688001335,0.019522622090124443
74,0.22688351056549472,0.014590494424063578
75,0.22354284060243662,0.025638559841882288
76,0.22382582233237605,0.02949848140948707
77,0.22332068562124535,0.05799955048291297
78,0.22391159580563286,0.060658905241173684
79,0.22419424553843342,0.029382951213894257
80,0.22497777738384186,0.0067825111936361685
81,0.2245232581123932,0.005809571106858789
82,0.22508714482819947,0.0010241593029782976
83,0.22382459820730402,-0.023586833210612394
84,0.21977823668530516,-0.03066446747634833
85,0.21559773820475497,-0.015183255553914095
86,0.21243796199936457,-0.0221105243154648
87,0.20606558847458578,0.0029435968346878897
88,0.19983732448990044,-0.012490945941783143
89,0.19683279851586766,-0.05330910880023279
90,0.1937840531577471,-0.0692719831030073
91,0.1895129443598122,-0.07456188603682865
92,0.1865265696597789,-0.06186042828122489
93,0.18286920318250097,-0.0510424309460663
94,0.17956363598573014,-0.037037496897062844
95,0.17276259477629374,-0.02717429395275507
96,0.16475499032868282,0.002942090000548375
97,0.1561340636502016,-0.00590983620467418
98,0.14486112949912613,0.0068737759808560365
99,0.13952771955623866,0.05022401215047357
